TE,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
Rep.MERVL-int.LTR.ERVL,3446941,8.033680628,12.5391247,13775.6901,2.87E-40,5.55E-36,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MT2_Mm.LTR.ERVL,975774,6.786273295,10.73290109,10111.80924,2.48E-38,2.39E-34,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MMERVK10C-int.LTR.ERVK,1134086,2.815731508,6.613117869,1375.591969,6.34E-26,1.08E-23,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MERVL_2A-int.LTR.ERVL,204681,2.00585383,7.07589927,1107.025026,1.36E-24,1.90E-22,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.ERVB4_2-LTR_MM.LTR.ERVK,62651,4.61480346,4.477282786,1086.767919,1.77E-24,2.43E-22,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR6B_Mm.LTR.ERV1,340771,2.965541472,5.372257055,1067.019652,2.29E-24,3.05E-22,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.L1Md_F2.LINE.L1,19230215,1.871409794,7.440981511,1054.524386,2.70E-24,3.49E-22,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.ERVL-B4-int.LTR.ERVL,5335,7.655433793,3.835317769,995.9877206,6.04E-24,7.48E-22,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR6-int.LTR.ERV1,1635525,2.963049879,5.091468913,898.6624488,2.56E-23,2.89E-21,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.L1Md_F.LINE.L1,1517216,2.906820384,4.911373021,852.0181322,5.39E-23,5.82E-21,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.L1Md_A.LINE.L1,20120362,1.652575844,6.889763573,689.8370254,1.02E-21,8.95E-20,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR10C.LTR.ERVK,703982,1.644932501,6.281891137,621.7019443,4.32E-21,3.59E-19,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MT2B1.LTR.ERVL,801202,1.623226069,6.264715323,600.6611005,6.96E-21,5.60E-19,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.IAPLTR2a2_Mm.LTR.ERVK,470397,2.119945985,5.171996306,600.0224697,7.06E-21,5.66E-19,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.ORR1A0-int.LTR.ERVL-MaLR,443545,1.577517371,6.286978971,512.9785197,6.10E-20,4.27E-18,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.ORR1A1-int.LTR.ERVL-MaLR,495135,1.447978606,6.059951067,449.7040352,3.68E-19,2.29E-17,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.L1Md_T.LINE.L1,9296235,1.287699427,6.590298796,419.4691059,9.47E-19,5.58E-17,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR9A3A.LTR.ERVK,13860,4.811636217,2.839822907,406.518387,1.45E-18,8.33E-17,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.LTRIS2.LTR.ERV1,573622,1.204041092,6.66176434,356.049443,8.62E-18,4.48E-16,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.L1VL4.LINE.L1,387602,4.529752555,3.037319354,337.5958468,1.76E-17,8.62E-16,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR13G.LTR.ERVK,125080,2.862039413,3.434182236,331.5748205,2.23E-17,1.07E-15,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR30C_MM.LTR.ERV1,26225,5.719996557,2.580341999,320.0525839,3.57E-17,1.66E-15,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MER89.LTR.ERV1,34247,3.986438954,2.918426868,299.5419197,8.60E-17,3.79E-15,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.LTRIS_Mm.LTR.ERV1,237970,2.282440176,3.904709386,299.4756051,8.63E-17,3.79E-15,0_vs_24,DuxOE,0_vs_24_DuxOE
