gene,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
Eif4a3l1,1573,9.337120175,8.649157844,8112.818356,5.91E-37,3.81E-33,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm5662,1840,8.515858316,8.005238156,6886.957002,6.25E-36,3.02E-32,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm8300,1873,8.756272852,7.717434934,6373.386994,1.91E-35,7.37E-32,0_vs_24,DuxOE,0_vs_24_DuxOE
Eif4a3l2,1362,8.550628221,7.430214575,6156.693834,3.13E-35,8.99E-32,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm4782,2046,7.719686895,7.597268835,6140.249025,3.26E-35,8.99E-32,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm5039,1856,9.264353203,7.383691194,5490.755653,1.63E-34,3.80E-31,0_vs_24,DuxOE,0_vs_24_DuxOE
Fbxo15,3360,4.975166373,9.003120296,5458.395388,1.77E-34,3.80E-31,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm8038,2044,7.712937614,7.089628179,5347.583004,2.38E-34,4.53E-31,0_vs_24,DuxOE,0_vs_24_DuxOE
AC168977.1,1910,8.465474376,7.116854208,5317.491015,2.58E-34,4.53E-31,0_vs_24,DuxOE,0_vs_24_DuxOE
Zscan4f,1959,7.874129593,6.988070181,5276.25152,2.88E-34,4.64E-31,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm2016,1766,8.51660175,7.478840038,5140.036022,4.20E-34,6.24E-31,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm8332,435,9.494645431,7.002283723,5014.403265,5.99E-34,8.27E-31,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm50180,253,9.1481719,7.268526218,4804.297832,1.11E-33,1.43E-30,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm21761,1374,8.949066158,6.751886569,4736.488831,1.36E-33,1.64E-30,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm4027,1850,9.026016996,6.736243642,4463.117239,3.19E-33,3.63E-30,0_vs_24,DuxOE,0_vs_24_DuxOE
B020031M17Rik,925,10.1294605,6.300317234,4216.257301,7.22E-33,7.69E-30,0_vs_24,DuxOE,0_vs_24_DuxOE
Cwc22,6822,4.084857082,8.482175272,4202.94414,7.56E-33,7.69E-30,0_vs_24,DuxOE,0_vs_24_DuxOE
Zscan4c,2276,7.847931955,6.549555748,4149.406731,9.08E-33,8.70E-30,0_vs_24,DuxOE,0_vs_24_DuxOE
Sp110,6781,9.181505266,6.318519102,4138.031749,9.45E-33,8.70E-30,0_vs_24,DuxOE,0_vs_24_DuxOE
Zscan4d,2272,8.382719211,6.573439129,4019.26461,1.43E-32,1.26E-29,0_vs_24,DuxOE,0_vs_24_DuxOE
Tmem132c,5850,6.591981794,6.878278883,3871.670074,2.45E-32,2.04E-29,0_vs_24,DuxOE,0_vs_24_DuxOE
Zscan4-ps2,2277,7.834518737,6.584141282,3862.715711,2.54E-32,2.04E-29,0_vs_24,DuxOE,0_vs_24_DuxOE
A530040E14Rik,2323,9.307034974,6.295751856,3847.591934,2.68E-32,2.08E-29,0_vs_24,DuxOE,0_vs_24_DuxOE
Usp17lc,2453,10.46156991,6.884400192,3790.534131,3.33E-32,2.47E-29,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm29361,2000,5.318319176,6.633505373,3692.426556,4.84E-32,3.47E-29,0_vs_24,DuxOE,0_vs_24_DuxOE
Zscan4a,2279,8.078899095,6.128104781,3625.354526,6.30E-32,4.35E-29,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm4340,1303,9.238941677,6.227912197,3492.443394,1.08E-31,7.17E-29,0_vs_24,DuxOE,0_vs_24_DuxOE
Zscan4e,1793,7.62399164,6.065838969,3473.160468,1.17E-31,7.51E-29,0_vs_24,DuxOE,0_vs_24_DuxOE
Tdpoz8,2142,9.406857049,6.044218977,3457.302016,1.24E-31,7.66E-29,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm5301,2074,8.017454701,6.208718438,3446.23512,1.30E-31,7.66E-29,0_vs_24,DuxOE,0_vs_24_DuxOE
Usp17le,1987,7.659732546,5.982527056,3445.382405,1.31E-31,7.66E-29,0_vs_24,DuxOE,0_vs_24_DuxOE
Nelfa,3947,3.540803249,8.733818876,3268.508053,2.78E-31,1.58E-28,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm12183,1848,7.240620575,6.245782306,3233.473564,3.25E-31,1.79E-28,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm21293,1427,8.871087454,5.860450835,3187.619697,3.98E-31,2.14E-28,0_vs_24,DuxOE,0_vs_24_DuxOE
Chit1,1815,6.291685414,5.999823202,3175.976372,4.20E-31,2.19E-28,0_vs_24,DuxOE,0_vs_24_DuxOE
Smim40-ps,246,8.749571919,5.886831982,3053.478458,7.37E-31,3.66E-28,0_vs_24,DuxOE,0_vs_24_DuxOE
Arhgef26,10116,7.409000362,6.064024117,3053.297377,7.38E-31,3.66E-28,0_vs_24,DuxOE,0_vs_24_DuxOE
BB287469,1851,9.7538303,6.175983059,3040.5566,7.83E-31,3.79E-28,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm5989,2077,7.077174164,5.920171426,2874.247082,1.75E-30,8.26E-28,0_vs_24,DuxOE,0_vs_24_DuxOE
0610040J01Rik,2403,6.935607841,5.689546816,2865.643128,1.83E-30,8.42E-28,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm21939,2773,7.692155367,5.743190628,2835.742789,2.13E-30,9.55E-28,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm4971,1108,7.839914114,5.889200455,2793.516134,2.63E-30,1.16E-27,0_vs_24,DuxOE,0_vs_24_DuxOE
Usp17lb,1561,7.65241663,5.845732962,2764.222395,3.06E-30,1.32E-27,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm20767,1427,9.265266962,5.688878008,2750.717459,3.29E-30,1.38E-27,0_vs_24,DuxOE,0_vs_24_DuxOE
Tcstv3,779,9.989730337,5.856174596,2706.780993,4.14E-30,1.70E-27,0_vs_24,DuxOE,0_vs_24_DuxOE
BC147527,1595,10.68515199,5.633538169,2645.04646,5.75E-30,2.28E-27,0_vs_24,DuxOE,0_vs_24_DuxOE
Usp17ld,1987,8.993747097,5.417259973,2643.934872,5.79E-30,2.28E-27,0_vs_24,DuxOE,0_vs_24_DuxOE
Ddit4l,2916,4.305724301,6.310984548,2597.883647,7.44E-30,2.88E-27,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm6803,435,10.48531424,5.434179779,2474.518443,1.49E-29,5.65E-27,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm50193,246,8.205465897,5.344977242,2466.897945,1.56E-29,5.79E-27,0_vs_24,DuxOE,0_vs_24_DuxOE
Tdpoz4,1113,10.36142937,5.310115697,2373.43826,2.71E-29,9.87E-27,0_vs_24,DuxOE,0_vs_24_DuxOE
mt-Nd2,1038,3.36927251,9.935974504,2366.567714,2.82E-29,1.01E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm16026,4005,9.631374194,5.497443853,2360.497755,2.92E-29,1.03E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
AA792892,2043,13.62250289,5.413340444,2669.518288,3.05E-29,1.05E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm21818,894,9.320977914,5.187794457,2312.686614,3.92E-29,1.33E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm18765,660,7.813096107,5.211190425,2288.952758,4.54E-29,1.51E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm27167,511,7.876357576,5.386567059,2278.760383,4.84E-29,1.58E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Pramef25,1684,8.312556727,5.302746528,2252.204506,5.72E-29,1.84E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm5837,1369,6.318333919,5.442924338,2248.62294,5.85E-29,1.85E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm13228,634,7.101525107,5.427633909,2239.711129,6.19E-29,1.91E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm2035,435,7.901267388,5.175714595,2238.836483,6.23E-29,1.91E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Spopfm1,1241,9.813402835,5.292574675,2203.432357,7.82E-29,2.36E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Epm2a,3287,6.030774167,5.877092684,2158.92304,1.05E-28,3.11E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Zfp352,2276,11.09061254,5.192049471,2154.240662,1.08E-28,3.16E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Zscan4b,1802,7.712236588,5.110505756,2145.039953,1.15E-28,3.31E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Rimklb,5622,2.870036991,7.390965292,2137.3777,1.21E-28,3.43E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
D13Ertd608e,724,9.231358513,5.098594352,2104.884767,1.50E-28,4.19E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm48931,229,7.954474628,5.229451352,2103.141614,1.52E-28,4.19E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm2022,435,7.534680702,5.152496882,2069.705996,1.91E-28,5.20E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Spesp1,3042,5.704528383,5.850621314,2056.992892,2.08E-28,5.58E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Ighv1-60,405,9.969620051,4.919275891,2055.39327,2.11E-28,5.58E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Lmx1a,3396,7.304618201,5.021044989,2032.082814,2.48E-28,6.48E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Tcstv1,1398,9.949341758,4.898660501,1970.683754,3.84E-28,9.89E-26,0_vs_24,DuxOE,0_vs_24_DuxOE
Calhm3,1044,8.534397769,5.525489245,1943.153185,4.69E-28,1.19E-25,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm26788,4782,5.701334682,5.157195393,1922.929239,5.44E-28,1.37E-25,0_vs_24,DuxOE,0_vs_24_DuxOE
Colgalt2,4245,8.850635997,5.274006122,1912.632495,5.88E-28,1.46E-25,0_vs_24,DuxOE,0_vs_24_DuxOE
Zfp809,2960,3.685618536,5.898614353,1892.689977,6.82E-28,1.67E-25,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm21542,993,8.3757671,4.801024387,1844.738698,9.83E-28,2.38E-25,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm21304,1291,8.865899131,4.734028393,1815.497143,1.23E-27,2.95E-25,0_vs_24,DuxOE,0_vs_24_DuxOE
Scamp1,4582,2.797607135,6.983961788,1811.308111,1.28E-27,3.01E-25,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm4840,1810,7.794709016,5.070146507,1796.855712,1.43E-27,3.33E-25,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm5576,1236,9.330875999,4.811118128,1789.22852,1.52E-27,3.49E-25,0_vs_24,DuxOE,0_vs_24_DuxOE
Spz1,1537,9.907983747,4.857876443,1777.782725,1.66E-27,3.78E-25,0_vs_24,DuxOE,0_vs_24_DuxOE
Prr18,3656,6.718916028,4.849309149,1728.289942,2.49E-27,5.59E-25,0_vs_24,DuxOE,0_vs_24_DuxOE
Rxra,6303,3.414362907,6.013590737,1725.341801,2.55E-27,5.66E-25,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm48578,472,9.859516244,4.809731756,1711.866259,2.85E-27,6.24E-25,0_vs_24,DuxOE,0_vs_24_DuxOE
