TE,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
Rep.RLTR50B.LTR.ERVK,116450,-2.102851761,2.722879164,76.33825008,3.94E-05,0.007573816,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR26.LTR.ERVK,51651,1.316495637,2.576533272,31.26306508,0.000702477,0.016273297,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR44C.LTR.ERVK,67288,-1.2961303,2.148070558,28.82749983,0.000897376,0.017956753,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.LTR16B2.LTR.ERVL,20776,-2.924982823,-0.729715078,25.78937475,0.001248799,0.020671899,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.IAPLTR3-int.LTR.ERVK,154924,-1.370334698,1.957323316,23.46796106,0.001643078,0.023229616,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR53_Mm.LTR.ERVK,98571,-1.043407636,2.831205644,22.0466464,0.001964793,0.025125212,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MurERV4_19-int.LTR.ERVK,52986,-1.472425938,0.889330566,21.16569748,0.002205164,0.026485237,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MERVL-int.LTR.ERVL,3446941,0.923021115,8.007629836,19.25725019,0.00286958,0.030162798,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MT2_Mm.LTR.ERVL,975774,0.882535443,6.487020971,17.61208903,0.003660603,0.034401816,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR9B2.LTR.ERVK,48199,-1.91461239,-0.463482847,17.52496825,0.003709838,0.034624204,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR44E.LTR.ERVK,26681,-1.206124029,2.052177216,17.38316165,0.0037918,0.034825254,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.IAPEY3-int.LTR.ERVK,351777,-1.169850634,2.490946102,16.2541819,0.004534392,0.038210346,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.ERV3-16A3_LTR.LTR.ERVL,11423,-3.252889261,-1.639726241,15.66231466,0.004998367,0.04029284,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MER76.LTR.ERVL,10054,-2.723493315,-1.458329649,15.58520252,0.005063204,0.040580914,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MLT1J2.LTR.ERVL-MaLR,4304,1.947454952,-1.033549349,14.87472193,0.005714244,0.043274697,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.ORR1A0-int.LTR.ERVL-MaLR,443545,0.667164328,6.079391181,14.45942877,0.006144717,0.045222803,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.ORR1C1-int.LTR.ERVL-MaLR,13555,-3.813166757,-2.31839715,13.74736494,0.00698411,0.048666538,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR4_MM-int.LTR.ERV1,304792,0.832322525,5.117570381,13.4570796,0.007368197,0.050113754,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MTE2b-int.LTR.ERVL-MaLR,47414,-1.107856036,0.972779643,12.67083182,0.008553264,0.054439987,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.LTRIS3.LTR.ERV1,41529,-0.841032234,2.149876255,12.45161873,0.008926491,0.055509959,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR46A.LTR.ERVK,19381,-1.754134246,-0.578780466,12.29958107,0.009197644,0.056375841,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RMER21B.LTR.ERV1,62818,1.052208916,0.814319906,12.14065682,0.009492443,0.057362077,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RMER2.LTR.ERV1,549108,-0.781178045,3.585301672,12.07520103,0.009617373,0.057701491,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.ERVB4_2-I_MM-int.LTR.ERVK,54596,-1.036980643,1.122374002,11.48276625,0.010849696,0.061663467,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.L1_Mur3.LINE.L1,104304,1.354249951,0.577266196,11.29728002,0.011276675,0.063067183,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR20C.LTR.ERVK,33579,-1.126035094,0.735146326,11.21897859,0.011463372,0.063504909,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR11A2.LTR.ERVK,559478,-0.700176224,5.14323149,11.0113192,0.011978029,0.064867107,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR17D_Mm.LTR.ERVK,38723,-0.871721544,2.075027289,10.89363424,0.012282862,0.065923568,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR20B4_MM.LTR.ERVK,91469,-1.348935776,0.988377586,10.7864561,0.012569175,0.066930538,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MuLV-int.LTR.ERV1,83657,0.619444961,7.909358295,10.73787633,0.012701764,0.067378782,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR11C_MM.LTR.ERVK,213079,-0.68319933,3.871664896,10.43702482,0.013564069,0.069871684,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.Lx3A.LINE.L1,190772,1.798731481,-1.460374348,10.33465066,0.013874526,0.071029518,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MER89.LTR.ERV1,34247,0.916753467,2.178433527,10.26772808,0.014082405,0.071597195,0_vs_12,ZfpOE,0_vs_12_ZfpOE
