gene,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
Lefty2,2611,4.337521004,7.883712225,405.8288165,1.10E-07,0.002317512,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Enox1,7962,3.292793407,5.20974013,271.7331642,4.66E-07,0.003397438,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Lefty1,1758,4.392019294,5.447255049,268.6967746,4.85E-07,0.003397438,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Txnip,3123,-2.772804587,10.29950158,221.3595931,9.68E-07,0.004292624,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Hrk,5677,-3.389892904,5.101435545,210.5218696,1.16E-06,0.004292624,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Zfp352,2276,4.562960847,5.641755872,207.1664409,1.23E-06,0.004292624,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Atp12a,4016,-3.961115369,3.680067214,193.0316848,1.57E-06,0.004514766,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm37691,2573,-6.792375366,0.985669348,183.2692275,1.89E-06,0.004514766,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Kctd19,3048,-3.924001821,2.364181468,182.1612835,1.93E-06,0.004514766,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ldlr,9622,2.421169166,5.945555227,170.562698,2.44E-06,0.004940081,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Atf3,2154,-3.060676365,3.386525046,167.7680728,2.58E-06,0.004940081,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Fbln5,6911,-3.735735724,2.120090627,155.7707117,3.36E-06,0.005077872,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Scd2,5464,2.244741598,9.022448413,155.0868655,3.41E-06,0.005077872,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Dusp8,4870,-4.183935276,1.599166583,150.7062891,3.77E-06,0.005077872,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rbfaos,2708,3.474419708,3.198391615,148.0807414,4.01E-06,0.005077872,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Lbhd1,3281,3.104629779,3.716951248,147.2648329,4.09E-06,0.005077872,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rspo4,2371,-4.028019438,1.308417201,147.083906,4.11E-06,0.005077872,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Trh,1384,3.058589008,6.658591474,143.013296,4.53E-06,0.005291663,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Myc,2717,2.490449325,5.443379327,131.4867579,6.08E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Fn3k,4399,-5.080567283,0.548062022,131.1544972,6.13E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Dll1,4219,-2.885707444,3.068382651,126.9719581,6.87E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
App,12996,-2.07367852,5.220975332,121.7435034,7.95E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Moxd1,3198,-2.482000516,3.745129939,121.3535411,8.04E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
St6galnac3,8994,-2.578268935,3.913431201,121.1240805,8.09E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Lamb3,6612,-2.441243932,3.337345497,120.9674962,8.13E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Dppa2,2447,1.957257369,7.265999517,120.0614181,8.34E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Id3,1791,2.640103387,5.083204802,119.8402803,8.40E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Sfpq,4743,1.984114046,8.754285866,118.8467854,8.64E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Crispld2,4777,-2.770197916,2.185458838,117.6136814,8.96E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ablim2,7047,-2.651964251,3.247419638,116.9027348,9.15E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Kif1a,9330,-2.150356756,4.962458046,116.7498825,9.19E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Prkcb,7651,-2.377133227,4.007214183,116.6505002,9.22E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Mcoln3,3467,-3.868785682,0.912911504,115.8971493,9.43E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
