gene,dux_0h,dux_12h,dux_24h,dux_36h,dux_48h,dux_72h
A330093E20Rik,0.314754523,0.648065539,0.955435986,0.473674932,0.356636472,0.054447137
A430089I19Rik,0.054447137,1.514891164,2.223957579,0.990153756,0.537296653,0.303658278
A430090L17Rik,0.244702526,1.185039926,1.41565981,1.142312848,0.390624449,0.447892009
A530032D15Rik,0.184590569,2.653641181,6.177177703,3.824024054,1.897898589,0.933887228
A530040E14Rik,0.286506484,40.86804286,160.2234333,108.2522077,32.45119312,9.36400513
A530076I17Rik,0.054447137,0.892483469,1.153941206,0.601669242,0.480896509,0.302317863
A730018C14Rik,0.054447137,0.280370557,1.005470808,0.870092752,0.386024608,0.136622848
A830082N09Rik,0.856967202,1.779566933,2.658429355,2.457939001,1.058509823,0.722623248
A930014E10Rik,0.054447137,0.56297893,0.808473659,0.443065057,0.268756396,0.21739455
AA414992,0.054447137,0.111835211,1.949178562,0.741873429,0.325067069,0.136622848
AA623943,0.107269741,8.929639686,12.01595399,6.817376204,3.681962249,2.369379265
AA684185,0.054447137,3.228717942,17.42636754,9.197339514,2.933103715,1.1048807
AA792892,0.054447137,35.51790068,87.09454667,33.75512502,17.17309276,6.766194762
AC123873.1,0.082660838,8.530049724,10.62939305,3.980171716,2.477446934,0.994814466
AC123873.2,0.054447137,0.351737593,0.725237885,0.435015461,0.176285695,0.13794059
AC124606.2,0.054447137,0.409151643,0.77988485,0.637068585,0.598099294,0.054447137
AC125149.1,0.082660838,1.224839554,6.377944741,4.506747374,1.380843333,0.248429761
AC125149.3,0.054447137,0.591645712,3.212307872,2.423010749,0.907457039,0.194583541
AC125149.4,0.054447137,0.774128815,3.40319285,2.415644681,1.06068439,0.329246561
AC125149.5,0.054447137,5.229115079,27.15798124,17.33057126,9.055873745,3.789084161
AC125178.1,0.054447137,0.78492094,1.754973338,0.978457171,0.449335907,0.24701455
AC125178.2,0.054447137,2.410575115,2.615466418,0.893324729,0.539426907,0.27260361
AC125178.3,0.054447137,1.565589285,2.818643237,1.300404136,0.600509285,0.496324254
AC132444.1,0.054447137,2.998804624,17.86342647,9.911652232,3.796364751,1.080841304
AC132444.2,0.054447137,0.541605407,2.562033281,1.409337344,0.577813,0.193219693
AC132444.3,0.054447137,0.158176824,1.109486315,0.50473963,0.239425637,0.081369622
AC133095.1,0.054447137,2.650380726,3.038827206,1.277456674,0.63206228,0.357563821
AC133095.2,0.191881123,5.957270714,12.42011018,4.857511378,2.491428733,1.956233387
AC133103.1,0.082660838,3.197170964,9.274723918,4.227011377,1.685107393,1.221313927
AC133103.4,0.054447137,0.796007104,3.711458859,1.906045438,0.458354131,0.221546161
AC133103.5,0.135452944,8.882908053,53.01657137,32.86551181,12.98963706,6.120462685
AC133103.6,0.054447137,0.348022537,1.140682279,0.870092752,0.264173208,0.109660228
AC139347.1,0.448600199,11.87579138,13.89700122,5.483999686,1.464242711,1.02305793
AC140325.2,0.07905604,3.54501593,6.002465515,2.3334548,1.459938497,0.715803062
AC140325.3,0.054447137,0.891796236,0.944541319,0.40380893,0.392931112,0.300920093
AC140325.4,0.07905604,5.296300265,7.520140757,3.567817782,1.807551074,1.126589096
AC140365.1,0.054447137,10.30485741,13.79468563,5.150446634,2.493570081,1.634211652
AC163611.1,0.054447137,1.149904973,1.719232576,0.679510274,0.349824038,0.193219693
AC164084.1,0.110844041,21.04886975,51.93956695,22.18196202,10.7417038,4.374056244
AC165294.2,0.103638586,1.748139505,3.916892547,1.560012164,0.897955844,0.550144261
AC168977.1,0.807270871,52.57557839,282.5473847,163.065966,58.95330459,23.5937334
AF067061,0.128193666,11.13702077,59.230637,29.92318148,13.20781811,4.002011597
AF067063,0.054447137,4.390183874,24.89237155,12.49261089,3.554769379,1.2128111
AI838599,0.88483744,1.955414434,2.311790034,2.17400313,1.042172488,1.10655579
AU015228,0.156407366,4.867851969,46.11224426,28.15802823,6.493413375,2.446641261
AU019990,0.054447137,6.918214079,8.984436902,3.637885554,1.633592481,0.803501044
AW822073,0.103638586,0.154496718,0.728088668,0.644174047,0.264173208,0.218698067
AY512931,0.726749352,0.913828563,1.30690318,1.067140727,0.699701728,0.19178681
Abca13,0.701809472,2.327962675,3.289864289,1.825555819,1.365068368,0.810383908
Abca17,0.054447137,0.631345819,0.695562779,0.256365559,0.356636472,0.16490321
Abcb5,0.163633084,23.1122092,57.43791252,19.80487783,9.468517653,4.208486346
Abhd3,3.975200477,6.674864509,8.323548327,4.656164903,2.583311958,2.234729414
Abhd6,15.14782617,22.10949783,51.78650336,31.95507589,22.725697,16.24951142
Abitram,4.444528233,9.437215257,13.12147121,12.80420552,7.701939936,5.5342745
Acbd7,3.330875084,3.410903483,3.603038701,2.050192907,1.626260722,1.091469705
Acss3,0.515045251,0.956396424,1.513188188,0.869528019,0.841589873,0.248429761
Acvr2a,7.707836323,13.73121643,16.02921402,14.58249384,12.13239198,12.39675483
Adamts19,2.817301657,17.10099856,18.42694405,11.97325949,6.033026351,3.526183436
Adap2,0.695394878,1.490712953,2.401963367,1.74046135,0.668110371,1.156483993
Adcy2,0.423986901,4.57264935,8.757187016,5.545892199,2.858868067,3.133687269
Adgrl3,0.423986901,1.289780505,1.502560119,1.48263532,0.733492038,0.492291162
Adh7,0.205641775,3.320119273,8.6514199,5.126992934,2.358170328,1.262577375
Adora2b,1.190519639,2.850395055,4.352779479,3.641608924,2.413681089,1.049854562
Alyref2,0.490481166,0.963637981,2.914797391,1.614337003,1.021982855,0.330635123
Amd2,12.43114193,24.57301744,25.23035711,15.54344001,11.78120358,6.338350881
Amigo3,0.420329547,1.485980277,1.61706468,1.42513017,0.478587242,0.85037002
Ankrd22,0.054447137,5.368220914,10.62709553,3.9524477,2.770923678,0.875799056
Ankrd9,14.13462679,17.15296687,17.62013208,13.22320827,10.11933047,7.310667408
Antxr1,1.549151998,13.88761169,31.21010601,17.07507866,8.309298066,5.238256052
Apol7b,0.20922845,12.44106999,22.49699179,8.173688789,3.963716679,1.657326195
Aqr,247.7878561,373.0069161,514.5803789,278.7843075,218.7702383,205.5482148
Areg,0.23740859,0.695263511,1.61706468,0.990153756,0.32731315,0.13794059
Arg2,0.589679223,13.27003396,29.99302666,12.85718183,6.962837943,3.407570069
Arhgef26,0.811114255,64.37821986,135.8826016,44.57126292,21.62726999,8.817252087
Arid5a,2.091604631,5.840170032,8.005622832,6.780797837,3.373084342,1.759669867
Arl15,28.14753992,77.20479843,97.67878204,62.75507362,55.47352967,45.07738184
Arl4d,27.22843078,73.78144778,117.9556045,61.83075159,33.95663578,18.94317258
Armcx5,8.062753835,12.62025881,12.82495522,8.32340968,4.707682363,4.37139486
Armh2,0.110844041,0.344364212,0.587786437,0.174688069,0.054447137,0.082737743
Arrdc3,11.15749576,30.99848332,33.35929702,15.3517693,11.0181525,5.963534858
Arsk,3.316775779,23.5383191,35.27869642,19.76777377,14.07491066,9.988843915
Ate1,39.92490128,71.98242826,89.61191175,70.50057711,59.07450696,43.5054949
Atf2,47.22450529,140.3687501,223.1056537,140.2339048,88.61471657,66.14313376
Atp4a,2.746753831,1.740861688,2.838470464,2.360430338,1.419259235,0.99594538
Atp6v1e1,64.9171192,109.2678637,163.4881132,108.2113503,90.08618182,67.55602216
Atpsckmt,2.229652328,10.98243388,22.08350105,13.01224835,7.180562201,5.326022673
Aunip,28.45284047,24.97903011,29.08739852,26.93195969,19.82644371,13.35775946
B020004J07Rik,0.07905604,2.510951689,18.87231655,7.882725478,4.240457422,1.657326195
B020017C02Rik,0.779044494,0.984960743,2.759905006,1.234693399,0.918617629,0.438374856
B020031M17Rik,0.184590569,31.22052117,160.7876153,80.33740744,34.11222456,12.74021495
B230317F23Rik,0.131852286,0.441526494,0.947267544,0.446370382,0.300362998,0.081369622
B3gntl1,7.326949897,19.62177526,25.13335355,20.09130529,12.93097956,8.825136614
BB287469,0.20192944,45.59794828,147.5566478,84.810309,38.62500838,15.93294834
BB557941,0.304620492,4.313841909,6.216273181,2.838252849,2.2784509,0.578328728
BC037704,1.881033945,4.647411393,6.635683034,6.41318344,3.22665351,2.155636215
BC061212,0.135452944,2.642516482,3.907979003,1.820995831,0.995347829,0.608066678
BC080695,0.103638586,7.887685139,16.87698061,8.113129165,4.027061819,1.716461258
BC080696,0.103638586,2.241683362,5.44337922,2.694814923,1.464242711,0.79512278
BC147527,0.103638586,15.43784698,101.4041795,57.78065458,22.57469546,8.037060412
Bcl6,0.708897726,2.596692978,4.497236968,3.396861182,1.710356768,1.029663616
Bex6,0.082660838,2.603280308,13.67411078,8.999627713,3.203489101,1.226380177
Bglap3,5.768712039,3.000134213,8.640817046,6.251734902,3.96159162,3.650956488
Bicc1,4.168965184,8.739218332,13.58517903,12.90655494,8.483353165,7.093917301
Bola1,13.09835785,102.8659448,155.4175426,93.90230853,47.77469139,20.01970798
Brd3os,1.426258852,3.043648137,4.008748278,2.573850839,1.179824985,0.967701916
C130026I21Rik,0.082660838,3.934803113,12.7154183,7.17069168,2.90993578,0.993368292
C130073F10Rik,1.120017028,1.625881229,2.76830811,1.668773613,0.936601347,0.494932724
C1d,23.18989706,42.67389275,92.27075681,50.11600874,35.42022301,24.4625441
C1galt1c1,1.838171909,5.343571811,5.625697941,4.487640135,3.427036775,1.871766865
C2cd2,7.278467015,11.92155713,18.29264346,16.81892565,10.9784813,7.075071457
C2cd2l,8.344306263,10.85025836,20.36520818,19.24066219,11.41605973,8.434526658
C2cd4b,1.21169433,0.792519345,3.022613891,1.938365373,1.452987388,1.024029022
C330011M18Rik,0.156407366,0.512938625,1.056335594,0.702212229,0.293496529,0.162127098
CAAA01098150.1,0.054447137,2.080509581,11.32782014,6.040523895,2.337412679,0.93654421
CN725425,2.081053487,5.051313134,6.659331624,4.793611232,3.339194401,2.396287161
CT868723.1,0.103638586,1.007171482,2.454411905,1.487071904,0.546234207,0.385772545
Cab39,136.7136655,251.689423,367.9921748,206.0911331,139.8271574,98.94171614
