gene,0h,12h,24h,36h,48h,72h
Rep.MERVL-int.LTR.ERVL,0,6.850106661,8.033680628,6.901027213,5.953042391,4.94846781
Zscan4f,0,7.083108731,7.874129593,6.936044326,6.181110403,4.88809809
Gm5662,0,6.772310785,8.515858316,7.509447773,6.646855954,5.431770781
Gm4782,0,6.510172568,7.719686895,6.578555754,5.12042924,3.66447612
Zscan4c,0,7.258877567,7.847931955,6.917165993,6.419378065,5.216153358
Gm5039,0,7.759427178,9.264353203,8.10967054,7.260316398,5.967981993
Gm8300,0,7.078801403,8.756272852,7.675637238,6.557067011,5.297909634
Zscan4d,0,7.603443454,8.382719211,7.053995984,6.368285293,5.042318398
Zscan4a,0,7.564323902,8.078899095,6.985190209,6.322769258,5.159103074
Zscan4-ps2,0,7.002374589,7.834518737,6.915191178,6.147079971,4.7032495
Gm8038,0,6.531684631,7.712937614,6.600538596,5.241397882,3.748640767
Zscan4e,0,6.927322821,7.62399164,6.575886568,5.851044496,4.893101615
Usp17le,0,7.022719189,7.659732546,6.452881717,5.441008662,4.003257928
Gm2016,0,6.810312227,8.51660175,7.487922356,6.565437367,5.426444766
Gm29361,0,4.519000629,5.318319176,4.260030936,3.325180971,2.18240526
Gm8332,0,7.636934993,9.494645431,8.537815772,7.742566448,6.499721647
Arhgef26,0,6.302312861,7.409000362,5.700126662,4.87014743,3.59203206
Gm4027,0,7.16341801,9.026016996,8.13844472,7.131665565,5.991924011
Zscan4b,0,7.162169603,7.712236588,6.625965055,6.230665396,5.17195789
Eif4a3l1,0,6.596096269,9.337120175,8.165079652,7.355135267,6.200579214
Gm26788,0,5.541561939,5.701334682,4.663106341,3.837316462,3.2787446
Gm50180,0,6.909926831,9.1481719,8.318325967,6.876436249,4.975612755
Hspa1b,0,-3.262215138,0.365374635,-0.154838879,-1.968000902,-2.794944864
Gm5301,0,6.529254754,8.017454701,7.139700196,5.396296696,3.752104284
Usp17lc,0,9.026799711,10.46156991,9.109243445,8.263241924,6.994847396
Eif4a3l2,0,5.830418168,8.550628221,7.489796,6.606995265,5.414554396
Zscan4-ps3,0,7.143591807,7.445799754,6.720855732,6.240757333,5.217297547
Gm4340,0,7.624339342,9.238941677,8.031270937,7.181495627,5.725250179
Gm18765,0,6.872650425,7.813096107,6.975909603,5.586766625,3.845834223
Gm5989,0,5.660159552,7.077174164,6.072610714,4.588386254,2.810248756
Gm21761,0,6.667432325,8.949066158,7.99508822,7.081239351,5.741173227
Gm21293,0,7.233833169,8.871087454,7.68473058,6.717204419,5.295054572
Gm13119,0,8.534267179,9.223764379,8.38137985,7.932007802,6.239523015
