gene,zy,early2cell,mid_late_2cell,4cell,8C-16C,blastocyst
0610039K10Rik,0.026170262,0.085090446,0.489239633,0.247465867,0.339051067,0.057349406
1110032A03Rik,3.824121068,7.137256524,0.998295329,13.03901946,3.147539287,10.85243888
1110046J04Rik,0,0,0.007103413,0,0.066751637,0.152541959
1500009L16Rik,0,0.227025046,0.023387095,0,33.80610247,26.85079069
1700013G24Rik,0,0.011696399,11.70602153,1.745935487,1.045590179,0.303963624
1700013H16Rik,0,0.008597656,81.90701382,2.353576522,0.47220701,0
1700019D03Rik,33.10099083,19.96796752,15.14524107,2.347023455,7.109987072,9.943748291
1700019E08Rik,0.009079214,0.611711856,0.120066507,0,0.009235463,0.396501704
1700021A07Rik,0,0,0.50314788,0,0,1.933528111
1700022N22Rik,0.394528797,0.448815434,4.327847999,4.319700729,3.169589508,2.402823506
1700042G15Rik,0,0,4.715878433,6.00290286,1.36538534,2.791588922
1700047F07Rik,0.451422021,0.94561933,6.610769716,18.39872319,0.268712697,0.179497451
1700061E17Rik,0,0,0.352784303,0,0,0
1700095A21Rik,0,0.025107495,0.038039256,0.053499783,0.095933448,0.106195335
1700097N02Rik,0.682862636,0.285612305,0.107700491,0,0.196806243,0.015715867
1810037I17Rik,83.49774,76.13144354,36.33214498,5.333813319,29.38985715,68.04592932
1810044D09Rik,0.02243275,0,1.021922246,8.03645541,4.508885602,3.753637795
2310009B15Rik,0,0,0.021099718,0.046163129,0.644870968,1.444316069
2310015K22Rik,1.712261199,4.464102319,2.994115372,0.809044416,3.703071022,2.286781122
2310033P09Rik,24.25790989,9.713113617,2.933010569,11.79410763,11.82673996,9.500632451
2310039H08Rik,0.328463256,0,0.051930631,1.515942357,1.211877791,5.90547696
2310068J16Rik,0.367944772,0.201480454,1.794489167,0.08867356,0.017997381,0.349299538
2410024N13Rik,0,0,5.838659257,7.368390261,5.365523823,17.91633818
2410131K14Rik,9.415075097,17.39085077,4.029588993,15.19550209,13.7071614,18.62042149
2410141K09Rik,5.55152842,7.14261568,1.140383464,2.640600714,3.820497928,10.56985203
2610021A01Rik,7.055366931,15.43244534,17.33807267,10.68709349,25.67677648,24.22979015
2610507I01Rik,0.178382141,0.096937138,2.366025698,5.76896685,0.697225724,0.830566792
2610528J11Rik,3.536189666,3.308836338,1.762339054,0.034915495,8.681534823,67.94457554
2810006K23Rik,0,0,2.799531382,6.778135149,15.01245443,26.16218728
3110040N11Rik,6.70923962,4.423888943,2.977640509,6.578999479,23.00575159,30.52282544
3110053B16Rik,0.386695889,0.27198693,0.165347976,0.093424825,0.416144098,0.195745117
3110082I17Rik,9.278484831,8.024989349,1.931734883,4.08184576,18.78874035,40.0439129
3830406C13Rik,15.19175395,23.85414575,11.74644868,2.973337442,4.583758392,17.25662252
4632404H12Rik,1.915184542,1.59202988,0.079679383,3.413172235,0.199182567,0.017539908
4930425L21Rik,0,0,0,0,0.154844292,0.178453608
4930430F08Rik,0.013085131,0.06366524,0.123270992,7.248494904,5.312718018,8.851687803
4930434O05Rik,0,0,0,0,0.004567125,0.000628419
4930455C13Rik,0,0.037661243,0.001093622,0,0.004279809,0.219423106
4930486L24Rik,0,0,0,0,0,0.054056106
4930503E14Rik,0.098019728,0.329169128,0.288369812,1.797656461,0.159588749,1.748249318
4930550L24Rik,0.540095576,0.491437094,0.235242855,18.62790085,1.214084252,16.67396654
4930563E22Rik,0.254237831,0.124626325,0.250602613,7.498380022,1.170090513,1.44621642
4930572O03Rik,0.014561203,0.016667083,0.470664902,0.226153587,0.059583732,0.007890295
4930578M01Rik,0.387248196,1.43087693,0.169582923,0,0.347518949,0.976080524
4930579C12Rik,0.330193787,0.305672311,0.411215401,0.713600196,0.016561403,0.003443796
4930588A03Rik,0.625688513,0.31384369,0.058788989,0,0.005793233,0.003873611
4930597O21Rik,0.057147975,0.236718703,0.746024346,0,0.000848875,0
4933430I17Rik,0.98955995,2.687272318,4.364683257,7.054819604,11.79661594,12.22797333
