gene,zy,early2cell,mid_late_2cell,4cell,8C-16C,blastocyst
0610005C13Rik,0,0.058993284,24.73056875,42.08242286,15.15402984,0.605906803
0610040J01Rik,24.11987197,46.17756077,75.4685419,14.51578872,0.587272174,1.397308111
1600025M17Rik,0,0.270039809,154.3583303,67.40351016,0.666734351,0
1700007J10Rik,0.149036953,0.078906234,0.002076856,0,0.008406757,0.040725413
1700017B05Rik,34.22376289,59.77680845,115.7133822,91.57221773,10.05395006,20.83644381
1700019L13Rik,0,0.379526827,5.739296208,0.912147812,3.490415369,2.155313083
1700021J08Rik,0,0,0.085733775,0.026158838,0.125390798,0.018845893
1700034H15Rik,0,0.468932429,10.58702201,60.63842508,8.027621206,0.932605814
1700034P13Rik,0.216309425,0.025107495,0.335438217,1.167211622,1.003127796,1.388211799
1700087M22Rik,0,0,0.085047644,0,0.000848875,0.004142233
1700126G02Rik,0,0.125537476,0.014697247,0.056777348,0.30571997,0.141787264
1810026B05Rik,0.8145103,0.760527022,15.28080677,8.15072684,7.20356419,15.91768658
2510002D24Rik,0.647973538,0.11247891,2.880524035,2.128527037,2.158229143,17.27356554
2610028H24Rik,0,0,1.510653783,2.135445186,0.794503434,0
2700081O15Rik,0,0.105778879,4.232451585,4.305594324,6.143962225,2.680144576
3830417A13Rik,0,0,0.785493076,3.991116068,0.023726559,0.314762606
4921516A02Rik,0.353298539,0.056899689,0,0,0.024944211,0.032127662
4930413G21Rik,0,0.035089197,0.244248975,0,0.069582568,0.070500531
4930426D05Rik,0,0.397293831,0.006472722,0.007693855,0,0.010429179
4930449I04Rik,0,0,0,0,0.000848875,0.00052513
4930502E18Rik,0,0.081874792,0.010436823,0.084010881,0.157339406,0
4930519K11Rik,0,0,0,0,0.001283809,0.000707183
4930553P18Rik,0.414994288,0,2.075514329,0,0.180564484,0.045498873
4930555B11Rik,0.407414411,0.1229719,0,0.52705765,0,0.24635104
4930556N13Rik,0,0.087876233,0.170630432,0.241313643,0.006326379,0.080529512
4930577N17Rik,0,0,0.009753587,0,0.002546624,0.018563894
4930599N23Rik,0.02243275,0,0.828571426,0,0,0.006958474
4932422M17Rik,0.027237642,0.559100235,1.373304603,0,0.594920933,0.090539525
4932441J04Rik,0,0,0,0,0.006139276,0.000707183
4933402N22Rik,3.10034881,2.928528176,1.315337558,1.653204906,0.094705459,0.00541105
4933406B15Rik,0,0,2.431618853,17.0816127,12.67169796,1.367205397
5033406O09Rik,0.347906651,0.075435512,0.371239822,0,0.836443771,1.616132363
5330439K02Rik,0.41736579,2.444256978,0.521172927,0.775949047,0.530775296,0.000659868
5730455P16Rik,3.163770514,3.707789765,14.18885039,26.29146159,6.102959715,27.49700444
5730507A11Rik,0,0,10.98240717,2.701281315,2.192489994,3.686500058
5930420M18Rik,0.078510786,3.056973085,0.273645562,0.577721055,0.097205476,0.987024851
6430548M08Rik,7.866368343,13.54832374,2.872547408,19.08041281,2.837286683,2.804527953
8030453O22Rik,0.039255393,0.344318114,0,0.75848456,0.288569795,0.336344745
8430426J06Rik,1.886332939,0.946110596,0.106035136,3.215921561,1.03357133,0.001787441
9030619P08Rik,0.009079214,0,0.000983234,0,1.152462386,1.175677289
9230114K14Rik,9.906963325,9.098541076,7.399948067,4.700266887,6.316576375,6.480863322
9530059O14Rik,0,0.033334166,13.42968487,1.675552826,0.699509507,2.089882349
9530077C05Rik,0.007280602,1.293897545,2.66855895,0,0.289512067,1.549787349
A230056P14Rik,0,0.011696399,0.536535761,0,0.297028003,0.219433001
A430078I02Rik,0,0,0.069031606,6.085512908,0.804946336,0.157647891
A830082K12Rik,0.160173234,0,0.005026558,0,0.000947738,0.008111808
A930003O13Rik,0,0,0.687558082,0,0.004886667,0.24164408
A930017K11Rik,0,0,0.00123784,0,1.210911758,0.055281179
