gene,zy,early2cell,mid_late_2cell,4cell,8C-16C,blastocyst
0610005C13Rik,0,0.058993284,24.73056875,42.08242286,15.15402984,0.605906803
1700092M07Rik,0.379872984,0.605555187,1.449776774,7.459606638,1.551862021,0.548323188
1700123O20Rik,0,0.07922208,25.55761147,44.25346431,65.45032491,146.1868754
2200002D01Rik,0,0,2.475596728,1.859252661,8.005535417,26.87489586
2210016F16Rik,0.036316856,0.792477278,24.53191485,53.79946563,17.99465834,19.51746529
2210408I21Rik,6.750340411,6.178935292,5.824145377,11.4244701,3.717543355,3.674253779
2210418O10Rik,0.073719501,0.081434878,0.220229976,0.150155669,0.159873983,1.15460013
2310011J03Rik,2.152458939,2.898233462,40.47452319,85.42561009,43.4767694,20.47580344
2500004C02Rik,0.557456118,1.123385659,1.040967674,12.62828724,6.451903746,2.029703968
2700081O15Rik,0,0.105778879,4.232451585,4.305594324,6.143962225,2.680144576
3830432H09Rik,0,0,1.031649006,1.535914415,0.016710392,0.023347779
4930453N24Rik,52.47306351,66.3942037,223.3389979,285.9521366,60.88097819,40.25950648
4930513N10Rik,0.836634204,2.140936423,2.922076017,6.395953217,3.362185113,1.085808488
4933408N05Rik,2.214953934,2.513978717,3.91810805,0.082959831,6.200765541,0.732869721
5730507C01Rik,0,0.011696399,1.559546233,3.519396756,2.769382085,9.361322428
9330159F19Rik,1.168469925,0.930833424,1.115982022,0.004413158,0.001325082,0.007590782
Abcb5,7.502336696,16.69597966,12.5924549,23.67609334,22.21200946,0.044880548
Acat2,34.51433428,50.40240836,36.50485975,90.84603107,96.06180492,156.5567438
Acta1,0.101562817,0.214285422,0.794609015,0.519310138,4.436003703,14.89013079
Adam21,0,0,0,0.004413158,0,0.000812952
Adipoq,0,0,0.252626573,0,0.003397484,0
Adsl,5.62274979,8.653985092,96.18902853,108.4868852,155.6145498,78.8333069
Aebp1,0,0,0.03335033,0,6.966938107,1.360759392
AF357399,0,0,0.445554675,0,0.634998537,0.245206898
Agtrap,7.056483496,2.083111675,13.09731632,34.42243546,43.49266306,185.8599458
Alg2,28.44252442,6.963009647,10.00570195,24.88856638,25.29815985,11.594968
Amd1,44.99388838,43.65781259,109.5804682,108.0686669,63.74096544,32.92275053
Amd2,60.20874352,64.11650528,107.1993737,97.87576023,51.22041801,29.23231763
Angptl4,0,0.085134392,0.157149588,13.14022128,9.521908823,22.00724164
Ankrd36,3.428252876,3.256621352,2.450204245,0.082310831,0.661572624,1.117553278
Anxa1,3.139093648,1.746726839,0.889298189,0,3.870298401,0
Ap4s1,1.660266402,0.438746654,21.02215631,59.31913598,79.74695011,14.22775595
Apex2,71.60234306,46.7246657,64.44079258,22.14863151,18.45972912,22.2282685
Apol6,4.596237681,5.419034327,0.638019103,0,0,1.042122846
Apol7b,0,0,18.41468295,31.24218612,0.097849789,0.4294505
Arhgap35,68.0633291,49.1393243,64.60422236,47.29232082,77.40667062,65.81904132
Arid1a,1234.106677,1064.626064,606.8607994,698.7324062,440.3538581,279.1773038
Arl16,0,2.475979154,7.672749232,14.73467771,6.676099499,11.70828579
Armh2,0,0,0,0,0,0.090539528
Arpc4,18.40002251,34.79041455,14.4500365,58.74740346,190.1340396,441.0428996
Arrdc3,15.36197428,16.22323286,26.28297462,1.139278597,2.059702871,6.587940636
Asap3,0,0,0.163039692,0.004413158,3.745236339,2.087604222
Asb16,1.398198967,0.95842776,5.650397049,17.09811595,22.10430209,4.216962917
Aurka,525.3871502,617.3020475,211.2387777,514.3055046,516.6275653,299.4744607
AV205837,0,0,0.001966468,0,0,0
B020031M17Rik,0.02243275,0.664817445,138.4738609,2.35361266,0.098949876,0.001176633
B3gnt3,0,0.773779325,1.344807012,0.214965974,0.409419893,5.650374038
B3gnt7,47.55411219,39.10616482,9.994862876,6.8760054,1.669439587,59.67110643
Bend3,30.71710224,34.03335422,70.42733027,177.2164983,118.1278347,51.50376781
Bok,0,0,0.395533785,7.054780401,66.98810172,31.56472972
Bop1,17.41702271,14.67966429,71.00474063,152.5824023,107.8253733,50.19750689
Bzw1,91.89373297,101.8844657,628.5205206,843.1109555,799.8543476,766.2466889
C1d,0.621122522,5.237439712,269.6875411,194.4247745,213.133802,205.1490435
Calcoco2,0,0.406490954,147.2474926,179.5266093,1306.089429,1248.34631
Cand1,274.7129768,441.8242351,736.2215939,996.9353616,953.9669049,325.9001803
Casq2,0.439089927,0.430734825,0.006472722,0,0,2.465108848
Castor1,18.37334139,9.988729442,24.02710385,125.1598119,143.9201121,97.42500484
Cavin1,2.043442077,4.145760369,7.073095495,5.756300786,10.2829187,5.354992404
Cbr3,0,0,1.000718245,0,0.379094868,0.298059298
Ccdc116,0,0,3.390665393,9.608829604,1.90820148,1.212606205
Ccdc78,0.063554499,0.827062755,0.023591302,3.481561893,0.105476805,0.406909005
Ccdc86,10.98525798,6.155935571,86.14552171,129.2047472,54.0369702,42.85059519
Ccdc87,0.311976421,1.506851794,0.290998448,1.351221617,1.440975686,0.14083511
Ccnd1,11.58765425,10.64791276,8.32142777,14.66333803,6.846423126,8.75324828
Ccne1,15.17506874,12.4977571,744.751549,793.2953412,522.7129532,35.55753462
Ccnjl,0.116489625,0.681298207,61.13011711,0.125496691,0.04160476,0.634598417
Ccr4,1.844290373,1.538477375,0.900305384,4.562453458,4.493809362,0.607020879
Cct6a,0.024034381,0.113342921,76.97839441,362.0043914,538.3841656,736.8094692
Cd160,39.86255611,42.4735712,8.390073815,0.178484463,0.091592197,0.438772852
Cdh2,27.35300895,24.37920076,4.305250476,0.37726297,1.785945769,4.617010602
Ceacam1,0.042530078,0.291898685,15.41823136,3.262908607,2.455593089,8.889572653
Ceacam2,0.846768581,0.841792004,9.07399272,1.694899832,1.348823348,4.83146698
Ceacam20,65.54702351,41.62769462,29.77654057,1.503400978,3.915015898,3.105705464
Cend1,0,0,0.3401447,1.009295883,0.022605183,0.162318844
Cers4,2.167400256,1.34171924,0.565300578,0,2.581192706,3.222272548
Chst5,0.04539607,0.703315332,16.19375693,15.13034116,0.484171311,0.146962413
Clmp,2.825980716,4.837448821,14.79376714,13.09522232,11.33210185,6.419726266
Clp1,0.170106704,4.569841329,371.0929665,351.5716568,238.3309476,56.9951869
Clpp,2.832536778,2.721456494,25.46212743,260.0862433,367.3015255,260.7076739
Coa4,3.425413966,7.245716967,0.417217038,10.68525004,40.76098247,80.39720818
Coq4,8.564282402,5.64571505,64.13983846,75.38007205,36.85079431,41.09394621
Cptp,21.60810278,37.17601218,206.7145868,71.05136224,18.98394216,39.08912592
Cr1l,7.50656694,7.456704724,3.402614329,1.836381331,12.07586294,28.26378162
Crmp1,1.862828805,0.776457904,0.539549565,0,0.41142126,0.003365615
Crnkl1,166.1810742,160.4294893,354.9968002,712.5846909,435.6098492,52.08341476
Cul1,1925.181451,2055.827793,1694.44522,444.8392099,215.176465,185.130345
Cul5,47.40559814,42.17253193,125.8353439,410.4340991,1063.631089,288.0748799
Cyb5d1,0.804050003,2.571406165,1.005917367,2.560514641,1.583726783,1.776454749
Cybb,3.847565406,3.704434528,0.267734409,0,0.218970186,0.031554628
Cyp2b23,3.315508481,2.004078,0.425517558,0.052378443,0.009619765,12.30038194
Dad1,138.517906,99.18374649,45.19789044,138.7275846,259.073735,323.098777
Dancr,0,0.082386081,44.43020089,104.8757814,22.22243346,9.343507581
Dazl,1531.377469,1841.37489,422.1277257,51.41843245,66.8310729,4.184944554
Dbnl,8.886700603,7.650539056,11.3309614,67.63091801,81.71137044,73.91597496
Dcc,3.463574306,1.368584334,68.13221484,16.12684405,0.084598676,0.02840572
Dcdc5,0.128743765,0.077264416,0.057939461,0,0.001394161,0
Ddc,0.628086292,0.042988278,4.033149091,2.128006619,4.322871971,10.12496136
Ddx39b,23.96547713,28.01307417,18.93750175,145.7966881,235.7355378,374.0807883
Ddx49,4.151747401,1.394532244,14.48713099,50.0786582,108.4501958,37.09746803
Ddx56,46.1200759,23.91975551,65.36697288,192.7446769,320.7002528,268.7135844
Ddx58,11.27197529,19.97146479,5.792353927,0.456480122,2.566296197,4.440792292
Dgkk,40.93423051,38.50887724,33.15616907,7.648654376,1.607031359,0.918415563
Dhcr24,0.399226933,0.514191424,3.922799431,1.485611488,5.876425512,9.544225148
Dhx33,10.52400218,25.50199629,27.61034785,82.48076655,88.96319954,44.07867467
Dhx38,17.92801857,22.80060254,19.61188275,38.43400135,37.27238202,36.94537294
Dhx9,5.503263675,7.839828449,132.0378328,96.49722577,99.06250415,90.19621429
Dido1,77.90347994,127.7022952,181.1911241,135.9357608,52.44274321,74.61528875
Dmtn,0.862071663,1.025028643,7.477347655,15.38306135,24.70580037,18.48774442
Dnaja1,83.74207101,90.92610022,73.63156725,371.2247856,1079.020627,445.3771393
Dnajb6,41.26428877,31.85482612,50.31164903,110.1064009,157.1129472,64.95479239
Dnase1,0.018158428,0.329713489,0.024007851,0.809251193,0.992954194,2.084424355
Dok2,0.014955167,0,1.857693428,0,17.17961404,15.34920603
Dppa2,58.9835924,82.10828075,175.6936014,428.0786299,341.4819878,258.4114131
Dtx3l,120.8818828,168.9637556,114.9933995,13.50806965,1.208933036,0.710825385
Duox1,0.071652484,0.109417509,1.683071094,0.005710495,0.00502141,2.624315525
Dusp27,0.222447228,0.109322441,0.247593502,0,0,2.57129562
E2f2,215.7712318,254.6462911,168.5749515,25.59098755,15.49116992,5.223286265
E2f3,0,0.751764822,1.65698956,1.428287983,1.911268125,9.07693034
E430018J23Rik,0.162431018,0.077047326,0.010605053,0,1.199325122,1.425062036
Ebna1bp2,44.29641456,32.38444323,240.0389079,995.4190724,400.8342648,251.0559881
Eef1akmt1,0.363168563,0.808226104,8.865132173,98.45016581,191.8783381,75.34391034
Eif1a,1.021764938,2.558277706,172.1035754,409.1583218,376.0174503,500.1419755
Eif3b,56.33972773,55.58857117,224.666291,710.606317,546.7048509,285.4111461
Eif4a3l1,1.181182568,1.92649396,93.91022353,29.84803851,14.71605434,6.079983889
Elac2,56.59038708,64.82472937,33.05899963,65.38274107,72.54245511,41.36274733
Elof1,485.0434179,296.1521574,155.3317436,365.1451236,227.1878636,135.4918429
Elp6,3.126502024,0.758184994,43.02682163,92.88579804,62.56240155,39.26794403
Emc8,82.06934612,64.51346759,39.2683263,58.14255862,28.12827539,31.70259972
Emp1,0,0,1.319255682,0,0.445260088,0.001253821
Enoph1,40.48767347,42.66534152,49.11568515,112.7737838,135.9033578,108.4187145
Enox1,76.17407753,108.757463,29.44566354,3.825539612,7.120827278,1.225393245
Eras,12.82382696,8.180025473,4.96593809,0,1.12927021,0.254781084
Ercc6l,77.03246818,88.29311641,163.8651905,166.6139374,50.5654665,29.29445424
Esrp2,5.414916015,4.825420341,5.295824922,103.3496461,122.9495597,63.83374768
Exo1,68.64034333,106.3365246,61.88861635,210.5404233,128.8786308,119.8191261
Exoc3l,0.504733009,0,0.289464269,0.269371036,0.071781705,0.018329068
Exosc4,8.139928036,2.140807508,7.794721485,25.89961573,38.43491597,22.09020098
F2rl1,0,0,0,0.007693855,0.087901974,35.81599351
Faap24,1.450972358,3.540392761,31.87655641,74.11940135,18.94995634,26.69300631
Fadd,11.29035423,7.414801307,6.87869812,35.75225885,13.1308276,14.10298471
Fam169a,35.63961729,56.49197697,51.50395328,42.02120894,19.16315189,26.43323435
Fam174b,2.449451277,0.499986653,8.836211005,3.229907912,0.956790483,0.216396878
Fam184b,0.014955167,0.104004085,0.068126158,0,0.024617366,0.467428028
Fam32a,75.10926467,80.97509893,28.76243056,212.3730812,179.9003596,143.6608841
Fancd2os,0,0,2.652034942,16.55229696,8.797571385,2.941491921
Fasn,60.02718448,50.95583172,25.61682797,74.44990037,190.9226633,79.60512933
Fastkd2,14.63765983,24.90545161,8.663133297,33.75543326,38.1499067,74.68028434
Fastkd5,25.10147194,18.0175703,21.22241315,61.56953801,11.62100934,19.83959497
Fbxo15,27.48693069,26.15138368,911.566174,2675.181818,4043.835038,674.3282527
Fbxo9,49.5167134,51.43459637,33.54652575,21.60130171,23.55124457,51.20649853
Fdft1,81.05708806,85.78087895,372.270646,229.0694169,426.7793387,58.84438803
Fdps,1.880565167,0.927997774,4.257770198,15.42744949,60.4418915,18.45351432
Fgf10,29.05732412,29.09057588,11.92137733,0.51132771,7.672259144,64.3205395
Fgf17,0,0,0.128115949,0,0,0.001414366
Fgf18,7.063074002,2.94565066,1.16238205,1.395873101,0.980709852,0.007214882
Fgfbp1,4.372812079,2.497857722,0.363670872,2.974310454,3.692095147,33.12307087
Fiz1,168.9814346,137.4584496,282.8007503,109.263901,34.74212084,15.81989043
Frat1,0.026170262,0,13.61963465,129.019331,28.00218506,8.057358475
Ftsj1,25.09703466,18.05822984,19.1367752,55.92378228,66.84757643,53.5760443
Ftsj3,46.71043907,66.50740282,26.68692216,158.3459925,221.6069844,205.955792
Gal3st2c,0.034926936,0.128711053,3.40419723,1.978693607,0.226268165,0.325642045
Gas2l1,3.116484939,2.092628565,9.774793327,17.72726215,6.396951207,12.61411535
Gbp2,0,0,0.024135272,0,0.371210408,0
Gcnt3,0,0,0.001093622,0,0,0.003306967
Gcsh,0.576435619,3.4958799,519.6319792,1485.14318,1320.004115,261.7718208
Gdf3,0,0.071270735,3.942176442,9.97434109,55.62236216,109.4499545
Gdpgp1,5.144311795,1.144709917,8.005534049,5.427687535,9.913544223,20.65863182
Gemin7,41.51279289,26.70407018,14.03362643,29.5476203,12.73061627,27.91660068
Gja1,0.1220357,1.064635197,189.7998157,580.74081,1207.750711,1235.754164
Glrx,178.4425237,81.13411996,12.19030488,0.205345986,2.432375347,290.7357842
Glul,0.97865096,10.2683884,658.4143347,378.8854934,282.4178404,245.6655645
Gm10244,0.089730999,0,0.338409106,0.16545989,0.555179603,0.684907268
Gm12790,2.598612054,1.857795148,16.14131406,26.33054587,25.07748418,69.90682691
Gm14124,0.422810624,1.922787515,1.776609424,4.109012962,2.447143748,4.094138915
Gm14139,0.497763601,0.835834673,1.761572441,13.87127344,2.955867107,8.587048679
Gm14296,0.215479533,0.315748795,0.995873153,0.47647817,1.934501901,15.82966633
Gm14393,0.353778946,0.360377649,0.21940614,0.211545134,0.328779404,2.253470366
Gm16286,29.5792825,24.51478971,37.39498534,251.1089158,187.6783444,252.0013731
Gm2004,0.113916716,0.077716131,0.082962936,0.018577201,0.057797372,0.23723876
Gm2027,0.182351209,0.306752811,68.11133521,31.86058472,5.646476755,0.704436737
Gm20767,1.719165793,2.988349335,154.4817484,3.974788859,0.14879167,0.025007933
Gm20939,0.976207842,1.26665517,25.08371218,15.34570011,14.94900162,27.12715393
Gm32856,0.423882522,0.091967119,0.119135252,4.823485967,5.07682334,2.715573434
Gm5086,0,0,0.040028849,0,0.025466241,0
Gm5176,0.455313428,0.278741934,1.756411826,1.423926658,1.116745964,2.545403559
Gm6712,3.652508259,2.900511457,4.448411327,17.08198135,11.91536689,4.192386045
