gene,dux_0h,dux_12h,dux_24h,dux_36h,dux_48h,dux_72h
A230057D06Rik,0.107269741,0.845365232,0.641058408,0.769269344,0.365949568,0.552800442
A2m,21.44618916,32.8661186,21.59572252,4.713260262,1.977179027,1.930556774
A430033K04Rik,1.732597722,6.039826127,4.388265128,4.726908769,3.92073982,2.667476029
A4galt,5.141269667,10.94788748,8.910114942,6.367342578,5.165642499,3.707691435
A630089N07Rik,7.008220325,11.3177251,6.931716977,6.165729923,4.718940445,5.903696725
A730091E23Rik,0.205641775,0.598997809,0.420423257,0.380640814,0.054447137,0.082737743
A930024E05Rik,0.909677035,2.971494251,1.183582555,1.878854542,1.044420733,0.575694478
AA386476,1.250261804,3.942540566,2.738602857,2.042258602,0.848690516,0.803501044
AC113595.1,0.662772967,2.857409925,0.890202888,0.834726289,0.575622343,0.711849959
AC151602.1,0.768958186,0.981467508,0.526979508,0.054447137,0.113075833,0.221546161
AC156021.1,0.054447137,0.666583532,0.391826147,0.380640814,0.210136276,0.109660228
AC164084.3,0.054447137,0.770434411,0.555392111,0.298884881,0.144694669,0.108332241
AC165294.1,0.054447137,1.074355096,0.953684347,0.33802948,0.271032239,0.162127098
AI427809,1.542740298,9.241878952,9.091909115,4.59243231,4.185555201,1.949430107
AI467606,2.166791416,6.669518041,3.850405456,2.259651297,1.498190393,1.165656089
AI987944,2.465751857,8.236542551,6.672506639,6.010232831,4.314096866,3.197713473
AU015836,46.75226283,66.76413414,43.32453281,27.80309123,27.21059888,27.10289608
AW146154,0.958725055,2.552726375,2.38894758,2.135030388,1.365068368,1.051141572
AW209491,4.150854755,14.55745056,10.91359011,6.65790482,4.7042858,3.016523714
Aamp,252.2895649,274.8602454,189.4272921,128.773452,133.8929998,136.0409339
Aar2,10.06480493,27.12261754,14.97214897,13.17757024,10.2789545,6.154250905
Abcg2,36.50743611,51.75855185,32.00442796,26.20028289,26.72784649,26.44037737
Abcg3,0.216463669,2.237675573,1.806650841,0.64028174,0.358919752,0.439622089
Abhd18,6.491544363,7.170956468,4.541753003,3.562834254,3.399919952,2.783666498
Acot6,0.311098732,1.279491673,1.228013087,1.180326666,0.954253467,0.383096105
Acp4,0.135452944,0.774128815,0.721399934,0.508763666,0.178566874,0.245674912
Actl6a,141.386657,181.0314827,121.8700336,86.77004122,89.9481797,86.62104323
Ada,20.68946802,21.84948052,16.30925087,10.26729168,8.618331444,8.135729409
Adnp2,23.84479958,69.34525906,64.91917972,61.23705644,41.61771663,30.24391219
Adrb1,2.861139758,5.518380649,3.065505747,4.332896631,2.301876498,2.294456197
Afap1l1,9.4228396,11.29664431,7.855963633,6.635470105,4.931383549,3.382077972
Agap2,1.567899801,2.305923585,0.944541319,1.75448563,0.568857254,0.492291162
Agbl3,2.503421557,3.558891835,3.197560756,3.109671275,1.992138171,1.249321624
Aggf1,37.43489736,80.8963732,57.35318039,46.93400735,32.1644275,26.36661971
Agpat2,17.58041255,33.75118001,24.7244455,18.22228256,17.95590209,13.98702257
Ahcy,302.8065574,305.9501579,229.7779904,152.0169855,191.2804785,183.483563
Ahsa1,219.723571,226.7933096,159.4545424,120.1361957,124.0692158,110.163634
Ak4,43.87566314,85.08367427,58.10152983,26.41668235,21.04318777,18.70799785
Akr1b3,290.0461431,333.5463561,218.2753713,125.5835984,125.5998897,99.7492626
Aldh1b1,5.174164552,7.366106589,5.256401615,4.599660199,1.493701502,1.269623381
Alg11,6.645946388,25.52680996,24.30560896,18.18827645,14.33871526,8.032351346
Amd1,73.98318983,130.0585092,122.6388018,75.24705229,61.4587208,44.9242563
Amer1,13.69965395,34.31989672,24.29069425,21.53336926,12.13953049,14.73343767
Ammecr1l,4.238030896,11.38848746,9.428033303,10.62777861,8.241831388,8.435972819
Anapc10,17.12205425,17.26991706,12.96467955,9.797840312,9.361869799,8.041490683
Angptl4,13.73731428,18.7433164,11.7429878,11.01765066,9.543880626,6.713447725
Ankrd34a,2.345342073,3.621997085,1.252160156,0.49694654,0.512548539,0.688828432
Ankrd37,7.872316646,8.303046165,3.37933425,0.916422984,0.861887762,0.668773704
Ankrd49,6.43276982,28.61465293,19.42129195,13.42660062,12.95613196,8.448414628
Anxa2,51.12829126,62.87239703,24.87468128,4.29293488,3.640470982,5.136236641
Anxa6,111.5970983,116.9412996,72.30675716,52.18747805,56.28049694,60.09303609
Aoah,10.16637344,17.86194903,8.895137965,7.158598113,6.102119619,6.003451242
Arhgap29,43.73455465,47.46630896,39.00332033,33.88654675,21.56606992,18.69199985
Arhgap30,19.10912062,30.23376453,14.33916298,13.5306748,9.873449106,8.342785572
Arhgap32,31.48340107,77.76461504,71.84262574,67.36970478,47.69065272,52.16708543
Arhgap35,17.97720467,59.12693016,45.0427146,43.10721885,33.03904675,30.43460464
Arhgef15,8.34219687,9.398362842,4.352779479,5.290585381,3.89401004,4.131726388
Arhgef25,48.47879101,57.87774167,36.71432182,33.23322617,25.35207729,27.61396091
Arhgef5,5.468822455,11.9753954,8.187731417,7.800551416,4.73881611,6.59696104
