gene,zy,early2cell,mid_late_2cell,4cell,8C-16C,blastocyst
1700092M07Rik,0.379872984,0.605555187,1.449776774,7.459606638,1.551862021,0.548323188
2210016F16Rik,0.036316856,0.792477278,24.53191485,53.79946563,17.99465834,19.51746529
2210408I21Rik,6.750340411,6.178935292,5.824145377,11.4244701,3.717543355,3.674253779
4930453N24Rik,52.47306351,66.3942037,223.3389979,285.9521366,60.88097819,40.25950648
5730507C01Rik,0,0.011696399,1.559546233,3.519396756,2.769382085,9.361322428
9330159F19Rik,1.168469925,0.930833424,1.115982022,0.004413158,0.001325082,0.007590782
Abcb5,7.502336696,16.69597966,12.5924549,23.67609334,22.21200946,0.044880548
Acat2,34.51433428,50.40240836,36.50485975,90.84603107,96.06180492,156.5567438
Acta1,0.101562817,0.214285422,0.794609015,0.519310138,4.436003703,14.89013079
Adam21,0,0,0,0.004413158,0,0.000812952
Adipoq,0,0,0.252626573,0,0.003397484,0
Adsl,5.62274979,8.653985092,96.18902853,108.4868852,155.6145498,78.8333069
AF357399,0,0,0.445554675,0,0.634998537,0.245206898
Agtrap,7.056483496,2.083111675,13.09731632,34.42243546,43.49266306,185.8599458
Amd1,44.99388838,43.65781259,109.5804682,108.0686669,63.74096544,32.92275053
Amd2,60.20874352,64.11650528,107.1993737,97.87576023,51.22041801,29.23231763
Angptl4,0,0.085134392,0.157149588,13.14022128,9.521908823,22.00724164
Ankrd36,3.428252876,3.256621352,2.450204245,0.082310831,0.661572624,1.117553278
Ap4s1,1.660266402,0.438746654,21.02215631,59.31913598,79.74695011,14.22775595
Apex2,71.60234306,46.7246657,64.44079258,22.14863151,18.45972912,22.2282685
Arid1a,1234.106677,1064.626064,606.8607994,698.7324062,440.3538581,279.1773038
Aurka,525.3871502,617.3020475,211.2387777,514.3055046,516.6275653,299.4744607
B020031M17Rik,0.02243275,0.664817445,138.4738609,2.35361266,0.098949876,0.001176633
Bok,0,0,0.395533785,7.054780401,66.98810172,31.56472972
Bzw1,91.89373297,101.8844657,628.5205206,843.1109555,799.8543476,766.2466889
Calcoco2,0,0.406490954,147.2474926,179.5266093,1306.089429,1248.34631
Cand1,274.7129768,441.8242351,736.2215939,996.9353616,953.9669049,325.9001803
Casq2,0.439089927,0.430734825,0.006472722,0,0,2.465108848
Castor1,18.37334139,9.988729442,24.02710385,125.1598119,143.9201121,97.42500484
Cavin1,2.043442077,4.145760369,7.073095495,5.756300786,10.2829187,5.354992404
Ccdc116,0,0,3.390665393,9.608829604,1.90820148,1.212606205
Ccdc78,0.063554499,0.827062755,0.023591302,3.481561893,0.105476805,0.406909005
Ccdc87,0.311976421,1.506851794,0.290998448,1.351221617,1.440975686,0.14083511
Ccne1,15.17506874,12.4977571,744.751549,793.2953412,522.7129532,35.55753462
Ccnjl,0.116489625,0.681298207,61.13011711,0.125496691,0.04160476,0.634598417
Cct6a,0.024034381,0.113342921,76.97839441,362.0043914,538.3841656,736.8094692
Cd160,39.86255611,42.4735712,8.390073815,0.178484463,0.091592197,0.438772852
Cdh2,27.35300895,24.37920076,4.305250476,0.37726297,1.785945769,4.617010602
Cend1,0,0,0.3401447,1.009295883,0.022605183,0.162318844
Chst5,0.04539607,0.703315332,16.19375693,15.13034116,0.484171311,0.146962413
Clmp,2.825980716,4.837448821,14.79376714,13.09522232,11.33210185,6.419726266
Clp1,0.170106704,4.569841329,371.0929665,351.5716568,238.3309476,56.9951869
Clpp,2.832536778,2.721456494,25.46212743,260.0862433,367.3015255,260.7076739
Coa4,3.425413966,7.245716967,0.417217038,10.68525004,40.76098247,80.39720818
Coq4,8.564282402,5.64571505,64.13983846,75.38007205,36.85079431,41.09394621
Cul1,1925.181451,2055.827793,1694.44522,444.8392099,215.176465,185.130345
Cul5,47.40559814,42.17253193,125.8353439,410.4340991,1063.631089,288.0748799
Cyb5d1,0.804050003,2.571406165,1.005917367,2.560514641,1.583726783,1.776454749
Cyp2b23,3.315508481,2.004078,0.425517558,0.052378443,0.009619765,12.30038194
Dbnl,8.886700603,7.650539056,11.3309614,67.63091801,81.71137044,73.91597496
Dcc,3.463574306,1.368584334,68.13221484,16.12684405,0.084598676,0.02840572
Dcdc5,0.128743765,0.077264416,0.057939461,0,0.001394161,0
Ddc,0.628086292,0.042988278,4.033149091,2.128006619,4.322871971,10.12496136
Ddx39b,23.96547713,28.01307417,18.93750175,145.7966881,235.7355378,374.0807883
Ddx49,4.151747401,1.394532244,14.48713099,50.0786582,108.4501958,37.09746803
Ddx58,11.27197529,19.97146479,5.792353927,0.456480122,2.566296197,4.440792292
