gene,zy,early2cell,mid_late_2cell,4cell,8C-16C,blastocyst
2210016F16Rik,0.036316856,0.792477278,24.53191485,53.79946563,17.99465834,19.51746529
5730507C01Rik,0,0.011696399,1.559546233,3.519396756,2.769382085,9.361322428
Abcb5,7.502336696,16.69597966,12.5924549,23.67609334,22.21200946,0.044880548
Apol7b,0,0,18.41468295,31.24218612,0.097849789,0.4294505
B020031M17Rik,0.02243275,0.664817445,138.4738609,2.35361266,0.098949876,0.001176633
Cand1,274.7129768,441.8242351,736.2215939,996.9353616,953.9669049,325.9001803
Ccnd2,0,1.143141191,6.734477865,1.244343384,8.863356489,6.919028575
Ceacam1,0.042530078,0.291898685,15.41823136,3.262908607,2.455593089,8.889572653
Ceacam2,0.846768581,0.841792004,9.07399272,1.694899832,1.348823348,4.83146698
Coa4,3.425413966,7.245716967,0.417217038,10.68525004,40.76098247,80.39720818
Cptp,21.60810278,37.17601218,206.7145868,71.05136224,18.98394216,39.08912592
Cyp2b23,3.315508481,2.004078,0.425517558,0.052378443,0.009619765,12.30038194
Dcc,3.463574306,1.368584334,68.13221484,16.12684405,0.084598676,0.02840572
Dhcr7,6.307816622,8.329072256,38.88889169,59.72270765,41.77002107,35.7535436
Dhx33,10.52400218,25.50199629,27.61034785,82.48076655,88.96319954,44.07867467
Dnase1,0.018158428,0.329713489,0.024007851,0.809251193,0.992954194,2.084424355
Ebna1bp2,44.29641456,32.38444323,240.0389079,995.4190724,400.8342648,251.0559881
Exo1,68.64034333,106.3365246,61.88861635,210.5404233,128.8786308,119.8191261
Fam169a,35.63961729,56.49197697,51.50395328,42.02120894,19.16315189,26.43323435
Fgf18,7.063074002,2.94565066,1.16238205,1.395873101,0.980709852,0.007214882
Gal3st2c,0.034926936,0.128711053,3.40419723,1.978693607,0.226268165,0.325642045
Glul,0.97865096,10.2683884,658.4143347,378.8854934,282.4178404,245.6655645
Gm12790,2.598612054,1.857795148,16.14131406,26.33054587,25.07748418,69.90682691
Gm14124,0.422810624,1.922787515,1.776609424,4.109012962,2.447143748,4.094138915
Gm14139,0.497763601,0.835834673,1.761572441,13.87127344,2.955867107,8.587048679
Gm20767,1.719165793,2.988349335,154.4817484,3.974788859,0.14879167,0.025007933
Gm20939,0.976207842,1.26665517,25.08371218,15.34570011,14.94900162,27.12715393
Gm6712,3.652508259,2.900511457,4.448411327,17.08198135,11.91536689,4.192386045
Guca1b,0,0.081874792,0.890342611,3.164057443,0.017661547,1.571960201
Il6ra,0,0.324399374,45.01727521,50.77012898,21.14826093,17.31569934
Kcnk2,1.280013158,1.060131324,3.494257631,15.50113593,0.102401687,0.005732983
Krtap4-13,0,0.023392798,4.501640515,2.11921932,0.049428104,0
Lrrn4,46.45243372,16.81623591,11.66946561,6.337997466,13.00365599,8.820958282
Nanos3,0,0,3.306713442,6.376157916,2.670007532,0.352259571
Nefh,6.357534468,5.461747382,1.417276528,0.013435373,2.797029351,1.464053549
Nepro,0.186566278,2.338879293,77.64302684,54.76725719,17.37452289,11.28330609
Noct,551.4176579,581.1642265,274.3613886,131.5271453,60.35430353,65.22219354
Olfr814,0.073719501,0.285781813,7.983917836,0.91847234,0.642826018,0.701687612
Olfr881,0,0.070178393,12.44553668,0.362755081,0.008868831,0.000787863
Pglyrp1,7.925637209,4.657412424,39.12441917,21.11193986,12.51533859,4.747928158
Phf11a,0.064371882,0.007674839,11.56676795,3.047503053,4.510936662,5.711530234
Prr18,0.770191075,1.780095989,7.773663694,26.26019373,2.323638858,0.637160057
Ptbp2,204.9215965,277.4164194,240.650169,17.44079626,7.764624741,8.992880587
Pusl1,0,0.071893091,17.76678128,12.1468149,21.1028576,31.41419217
Robo4,0,0.011696399,1.805456991,0,0.230973201,0.208011724
Setd1b,114.7859994,62.24323562,70.33402237,73.31769286,48.51133894,42.6043511
Snora31,0.077976536,0.114661008,1.227563772,3.825411351,2.713307135,1.20274371
Spin2c,0,0.085134392,0.833265103,7.096909294,0.626110868,6.092537509
Tmem17,2.513409588,1.931943355,0.233165493,1.151417056,1.376436782,9.026724016
Tril,2.005104985,0.033825,0.143196496,0,0.077913895,0.003752877
Trmt11,52.59620256,61.55265139,33.16386233,15.05794623,51.22699155,52.72529289
Ttc30a1,0.069853871,0.009459377,6.953372562,32.5693445,5.037035958,3.339773742
Ttc30b,1.109942126,0.617567567,95.41966347,14.05188215,0.788543053,5.066929425
Tuba1b,1.192758435,1.050337438,7.626986189,6.528582618,21.50075476,58.58427296
Vmn1r227,0,0,1.745589829,0.363423441,0,0.008559922
Vmn2r12,0,0,2.016465356,0.608657498,0.000848875,0.002595265
Xaf1,0,0,0.044918109,0,0.591618189,2.192815792
Zc4h2,18.09386384,28.53291949,6.386221695,0.00612057,0.613858735,0.02652401
Zfp599,0,1.831721469,308.7546619,40.30173067,79.13015955,35.71587634
Zfp809,7.286823717,10.68800574,163.3611957,63.67593743,38.38013434,36.5702677
Zfp936,20.73813649,22.17540063,175.6431257,212.1295934,66.46175335,46.51703966
Zfp979,66.17637319,79.86058263,186.1763601,50.4730344,36.29835603,51.50618377
Zfp985,3.627997704,5.198932504,42.28192794,39.61180807,144.3436628,209.4789872
