gene,zy,early2cell,mid_late_2cell,4cell,8C-16C,blastocyst
Arrdc3,15.36197428,16.22323286,26.28297462,1.139278597,2.059702871,6.587940636
Aurka,525.3871502,617.3020475,211.2387777,514.3055046,516.6275653,299.4744607
Bok,0,0,0.395533785,7.054780401,66.98810172,31.56472972
Cand1,274.7129768,441.8242351,736.2215939,996.9353616,953.9669049,325.9001803
Cul1,1925.181451,2055.827793,1694.44522,444.8392099,215.176465,185.130345
Cul5,47.40559814,42.17253193,125.8353439,410.4340991,1063.631089,288.0748799
Ddx58,11.27197529,19.97146479,5.792353927,0.456480122,2.566296197,4.440792292
Dnaja1,83.74207101,90.92610022,73.63156725,371.2247856,1079.020627,445.3771393
Dtx3l,120.8818828,168.9637556,114.9933995,13.50806965,1.208933036,0.710825385
Fbxo15,27.48693069,26.15138368,911.566174,2675.181818,4043.835038,674.3282527
Fbxo9,49.5167134,51.43459637,33.54652575,21.60130171,23.55124457,51.20649853
Hspa5,89.42059141,58.54032767,565.3762594,759.5738616,260.776106,418.4438661
Hspa8,23.78032959,16.7598502,100.7002685,437.2802358,1523.689444,1098.558625
Hspd1,101.7576013,100.684695,87.77510802,180.2980301,287.6650488,784.0117061
Jade2,350.2539286,426.5007075,131.2374564,13.77880462,4.284056234,0.344470545
Kbtbd6,73.89939926,70.35914003,10.78942092,7.848637372,2.225424013,1.083881176
Keap1,6.231459906,7.66013519,4.2973374,5.719898544,16.06623006,19.28735217
Map1a,0.462887113,2.100545015,1.9019982,1.386701337,0.416458542,1.636651791
Mocs3,2.343633786,1.638311561,46.49232253,21.67446858,6.592840631,5.783928933
Nrros,0.014561203,0,6.927314307,2.638248836,2.288530461,1.45595524
Otud6b,28.90156756,60.34607492,256.4731881,249.5889117,211.911646,106.7081751
Pomp,67.39519092,43.87204094,22.77977673,304.9663823,480.9085012,489.679741
Pramel6,0,0.733138763,238.2418794,510.8936254,675.2559821,313.0962618
Pramel7,0,1.514457927,268.2456155,1279.334837,1012.840574,400.4293495
Psma2,211.080568,170.2858904,57.68113378,188.7670224,448.510064,577.7825141
Rbx1,162.6371371,130.44224,126.9602071,184.9529734,217.4168977,232.4258346
Ripk1,68.87667837,104.6719975,82.5513672,22.15919365,7.82814098,16.73330454
Rmnd5b,3.475306939,6.698563327,72.07072958,185.3041517,191.6263007,35.39197031
Sh3rf2,5.356215958,8.746409055,3.963697677,0.005265204,0.005801105,0.135276873
Slc25a5,118.7739516,173.4279826,133.1856632,221.9978579,1157.004597,2083.687542
Spopfm2,0.009079214,0.864758409,27.09713114,7.186766145,0.37135038,0.007961273
Tdpoz2,0,0.056244973,7.631134397,8.254491473,7.233673477,0.45001935
Ticam1,1.72446167,2.680253078,21.95319363,5.000225451,9.450518231,9.753538516
Topors,74.63701593,67.81057268,840.5713843,320.6355607,133.8315176,92.77619778
Trim28,286.0558435,59.92609487,476.2734999,1030.239306,1354.091905,946.7813965
Trim43a,0.009079214,3.165521355,741.0336141,2109.77198,1867.007963,508.7029212
Trim6,0,0.073239507,73.67447578,161.4154636,106.5823277,104.2521846
Tuba1b,1.192758435,1.050337438,7.626986189,6.528582618,21.50075476,58.58427296
Tubb5,70.52013743,51.99248087,302.6743592,236.2506624,133.1631266,657.579352
Ube2l3,8.470013446,9.523439282,15.36171559,63.04207891,107.9254374,180.9741281
Ubxn1,16.93417463,8.271587008,73.21312635,426.3899408,652.0321135,295.3977466
Zc3h12a,0,0,18.02857568,5.457094929,5.626048494,0.378307243
Zc4h2,18.09386384,28.53291949,6.386221695,0.00612057,0.613858735,0.02652401
